Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
109,Zach Collins,PF,24,SAS,2,0,15.5,3,6.5,0.462,0.5,1,0.5,2.5,5.5,0.455,0.5,1,2,0.5,3.5,3.5,7,3,1.5,0,2,3,7.5
160,Drew Eubanks,C,24,SAS,49,9,12.1,1.7,3.2,0.528,0,0.2,0.125,1.7,3.1,0.55,0.531,1.2,1.6,0.747,1.3,2.7,4,1,0.3,0.6,0.9,1.2,4.7
279,Keldon Johnson,SF,22,SAS,51,50,31.1,5.8,12.5,0.466,1.9,4.4,0.427,3.9,8,0.488,0.542,1.9,2.7,0.715,1,5.1,6.1,1.8,0.7,0.1,1.3,1.8,15.4
291,Tre Jones,PG,22,SAS,43,4,13.4,2,4,0.5,0.1,0.4,0.158,1.9,3.5,0.543,0.509,0.8,0.9,0.895,0.4,1.4,1.8,2.3,0.4,0,0.6,0.9,4.8
313,Anthony Lamb,SF,24,SAS,2,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0,0.5,0.5,1,0,0,0,0,0
315,Jock Landale,C,26,SAS,34,1,10.1,1.7,3.4,0.496,0.6,1.5,0.365,1.1,1.9,0.6,0.577,0.6,0.7,0.87,1.1,1.1,2.3,0.9,0.2,0.4,0.6,0.9,4.6
358,Doug McDermott,PF,30,SAS,39,39,24.4,4.4,9.5,0.465,2.2,5.2,0.429,2.2,4.3,0.509,0.582,0.5,0.7,0.704,0.4,2.1,2.5,1.2,0.2,0.1,0.8,1.6,11.5
384,Jaylen Morris,SG,26,SAS,3,0,5.3,0,2,0,0,0.7,0,0,1.3,0,0,0.7,1.3,0.5,0,0.7,0.7,0.7,0,0,0.3,0.7,0.7
392,Dejounte Murray,PG,25,SAS,48,48,34.4,8.1,17.9,0.453,1.3,4.1,0.315,6.8,13.8,0.495,0.49,2,2.7,0.744,1.3,7,8.4,9.2,2,0.4,2.5,2.1,19.5
438,Jakob Poeltl,C,26,SAS,45,44,28.8,5.9,9.7,0.614,0,0,,5.9,9.7,0.614,0.614,1.2,2.7,0.459,4,5.1,9,2.8,0.7,1.7,1.6,3,13.1
451,Joshua Primo,SG,19,SAS,26,4,15.4,1.7,4.7,0.364,0.8,2.4,0.317,0.9,2.2,0.414,0.446,0.5,0.7,0.778,0.6,1,1.7,1.4,0.3,0.5,1,1,4.7
544,Devin Vassell,SF,21,SAS,47,8,25.4,4.4,10.1,0.432,1.7,5.1,0.345,2.6,5,0.521,0.519,0.9,1.1,0.792,0.6,3.7,4.3,1.5,1,0.6,0.7,2.1,11.4
552,Lonnie Walker IV,SG,23,SAS,50,6,22.7,4,10.4,0.388,1.4,4.8,0.294,2.6,5.7,0.466,0.455,1.5,1.8,0.831,0.2,2.3,2.5,2.3,0.7,0.3,1.1,1.4,11
565,Derrick White,SG,27,SAS,49,48,30.3,5,11.6,0.426,1.7,5.3,0.314,3.3,6.4,0.519,0.497,2.8,3.3,0.869,0.5,3,3.5,5.6,1,0.9,1.8,2.4,14.4
567,Joe Wieskamp,SG,22,SAS,14,0,6.3,0.9,1.9,0.481,0.6,1.3,0.444,0.4,0.6,0.556,0.63,0.2,0.5,0.429,0.1,0.4,0.5,0.3,0.1,0.1,0.1,0.4,2.6
587,Thaddeus Young,PF,33,SAS,26,1,14.2,2.8,4.9,0.578,0,0.2,0,2.8,4.7,0.602,0.578,0.4,0.8,0.455,1.5,2,3.6,2.3,0.9,0.3,1.2,1.5,6.1
1,Precious Achiuwa,C,22,TOR,45,23,23.6,3.2,7.4,0.424,0.4,1.2,0.296,2.8,6.2,0.448,0.448,0.9,1.6,0.569,2.3,4.8,7.1,1.2,0.5,0.6,1,2,7.6
16,OG Anunoby,SF,24,TOR,39,39,37.1,6.9,15.5,0.444,2.5,7,0.359,4.4,8.5,0.515,0.526,2,2.7,0.743,1.6,4.1,5.7,2.6,1.6,0.6,1.8,3,18.3
28,Dalano Banton,SF,22,TOR,44,1,11.9,1.5,3.6,0.414,0.3,0.9,0.268,1.2,2.6,0.466,0.449,0.4,0.6,0.643,0.6,1.6,2.2,1.7,0.5,0.2,1,1.3,3.6
31,Scottie Barnes,PF,20,TOR,46,46,35.9,5.8,12.2,0.474,0.9,2.7,0.32,4.9,9.5,0.518,0.51,2.2,3,0.741,2.5,5.1,7.7,3.5,1,0.8,1.9,2.8,14.7
47,Khem Birch,C,29,TOR,28,7,18.7,1.9,3.9,0.481,0,0.3,0,1.9,3.6,0.52,0.481,1.2,1.6,0.75,2.4,2.2,4.6,1.1,0.8,0.5,0.6,1.6,4.9
57,Isaac Bonga,SF,22,TOR,13,0,5.1,0.2,1,0.231,0.1,0.3,0.25,0.2,0.7,0.222,0.269,0.3,0.5,0.667,0.3,0.2,0.5,0.2,0.5,0.2,0.2,0.8,0.8
60,Chris Boucher,PF,29,TOR,52,8,20.2,3.3,7,0.462,0.8,2.7,0.282,2.5,4.3,0.576,0.516,1.9,2.5,0.773,2.1,3.8,5.9,0.3,0.7,1.1,0.6,2.2,9.2
98,Justin Champagnie,SF,20,TOR,30,0,8.4,1,2,0.483,0.3,0.7,0.409,0.7,1.3,0.526,0.558,0.3,0.3,1,1.2,0.9,2.1,0.3,0.2,0.1,0.2,1.1,2.5
130,Sam Dekker,PF,27,TOR,1,0,1,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
147,Goran Dragić,PG,35,TOR,5,2,18,2.6,6.8,0.382,0.8,2.8,0.286,1.8,4,0.45,0.441,2,2,1,0.4,2.4,2.8,1.8,1,0.2,0.2,1.6,8
166,Malachi Flynn,PG,23,TOR,32,1,9.1,1.2,3.2,0.373,0.5,1.6,0.308,0.7,1.6,0.44,0.451,0.2,0.3,0.667,0.2,0.9,1.1,1,0.4,0.1,0.3,1,3.1
275,David Johnson,SG,20,TOR,2,0,1,0,0.5,0,0,0.5,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
